	title_Chinese	title_English	rate	director	country	year	genre
47	我，机器人	I, Robot	8.2	" 亚历克斯·普罗亚斯
            
          "	" 美国/德国
            
          "	 2004	机器人
48	超能陆战队	Big Hero 6	8.7	" 唐·霍尔 / 克里斯·威廉姆斯
            
          "	" 美国
            
          "	 2014	机器人
49	阿童木	Astro Boy	6.9	" 大卫·博维斯
            
          "	" 中国香港/美国/日本
            
          "	 2009	机器人
50	机器人总动员	WALL·E	9.3	" 安德鲁·斯坦顿
            
          "	" 美国
            
          "	 2008	机器人
51	环太平洋	Pacific Rim	7.7	" 吉尔莫·德尔·托罗
            
          "	" 美国
            
          "	 2013	机器人
52	她	Her	8.4	" 斯派克·琼斯
            
          "	" 美国
            
          "	 2013	机器人
53	超能查派	Chappie	7.3	" 尼尔·布洛姆坎普
            
          "	" 美国/墨西哥/南非
            
          "	 2015	机器人
54	人工智能	Artificial Intelligence: AI	8.7	" 史蒂文·斯皮尔伯格
            
          "	" 美国/英国
            
          "	 2001	机器人
55	机器管家	Bicentennial Man	8.6	" 克里斯·哥伦布
            
          "	" 美国/德国
            
          "	 1999	机器人
56	机械姬	Ex Machina	7.6	" 亚历克斯·加兰
            
          "	" 英国
            
          "	 2014	机器人
57	苹果核战记2	エクスマキナ	7.5	" 荒牧伸志
            
          "	" 日本
            
          "	 2007	赛博格
58	苹果核战记	アップルシード	7.5	" 荒牧伸志
            
          "	" 日本
            
          "	 2004	赛博格
59	蝙蝠侠：黑暗骑士	The Dark Knight	9.2	" 克里斯托弗·诺兰
            
          "	" 美国/英国
            
          "	 2008	赛博格
60	未来战警	Surrogates	6.8	" 乔纳森·莫斯托
            
          "	" 美国
            
          "	 2009	赛博格
61	未来警察	未來警察	4.0	" 王晶
            
          "	" 中国香港/中国台湾
            
          "	 2010	赛博格
62	银翼杀手：2036复制人黎明	2036: Nexus Dawn	7.4	" 卢克·斯科特
            
          "	" 美国
            
          "	 2017	赛博格
63	银翼杀手：2022黑暗浩劫	Blade Runner: Black Out 2022	8.4	" 渡边信一郎
            
          "	" 美国
            
          "	 2017	赛博格
64	银翼杀手2049	Blade Runner 2049	8.3	" 丹尼斯·维伦纽瓦
            
          "	" 美国/英国/加拿大/匈牙利/西班牙/墨西哥
            
          "	 2017	赛博格
65	银翼杀手	Blade Runner	8.5	" 雷德利·斯科特
            
          "	" 美国
            
          "	 1982	赛博格
66	红辣椒	パプリカ	9.0	" 今敏
            
          "	" 日本
            
          "	 2006	赛博格
67	攻壳机动队	攻殻機動隊	9.0	" 押井守
            
          "	" 日本
            
          "	 1995	赛博格
68	攻壳机动队	Ghost in the Shell	6.4	" 鲁伯特·桑德斯
            
          "	" 美国/印度/中国香港/中国大陆/加拿大
            
          "	 2017	赛博格
69	超验骇客	Transcendence	6.6	" 沃利·菲斯特
            
          "	" 美国/中国大陆/英国
            
          "	 2014	赛博格
70	超能查派	Chappie	7.3	" 尼尔·布洛姆坎普
            
          "	" 美国/墨西哥/南非
            
          "	 2015	赛博格
71	感官游戏	eXistenZ	7.1	" 大卫·柯南伯格
            
          "	" 英国/法国/加拿大
            
          "	 1999	赛博格
72	机器战警	RoboCop	7.7	" 保罗·范霍文
            
          "	" 美国
            
          "	 1987	赛博格
73	阿丽塔：战斗天使	Alita: Battle Angel	7.5	" 罗伯特·罗德里格兹
            
          "	" 美国/日本/加拿大
            
          "	 2019	赛博格
74	记忆裂痕	Paycheck	7.3	" 吴宇森
            
          "	" 美国
            
          "	 2003	时空旅行
75	时间机器	The Time Machine	7.1	" 西蒙·威尔斯
            
          "	" 美国
            
          "	 2002	时空旅行
76	明日边缘	Edge of Tomorrow	8.1	" 道格·里曼
            
          "	" 美国/加拿大
            
          "	 2014	时空旅行
77	超时空同居		6.8	" 苏伦
            
          "	" 中国大陆
            
          "	 2018	时空旅行
78	终结者	The Terminator	8.2	" 詹姆斯·卡梅隆
            
          "	" 美国/英国
            
          "	 1984	时空旅行
79	黑衣人3	Men in Black III	7.7	" 巴里·索南菲尔德
            
          "	" 美国
            
          "	 2012	时空旅行
80	环形使者	Looper	6.9	" 莱恩·约翰逊
            
          "	" 美国/中国大陆
            
          "	 2012	时空旅行
81	时空线索	Deja Vu	7.8	" 托尼·斯科特
            
          "	" 美国/英国
            
          "	 2006	时空旅行
82	蝴蝶效应	The Butterfly Effect	8.8	" 埃里克·布雷斯 / J·麦基·格鲁伯
            
          "	" 美国/加拿大
            
          "	 2004	时空旅行
83	X战警：逆转未来	X-Men: Days of Future Past	8.2	" 布莱恩·辛格
            
          "	" 美国/英国
            
          "	 2014	时空旅行
84	时空恋旅人	About Time	8.8	" 理查德·柯蒂斯
            
          "	" 英国
            
          "	 2013	时空旅行
85	伊凡“雷”帝：回到未来	Иван Васильевич меняет профессию	7.6	" 列昂尼德·盖代
            
          "	" 苏联
            
          "	 1973	时空旅行
86	傻瓜大闹科学城	Sleeper	7.4	" 伍迪·艾伦
            
          "	" 美国
            
          "	 1973	时空旅行
87	回到未来3	Back to the Future Part III	8.5	" 罗伯特·泽米吉斯
            
          "	" 美国
            
          "	 1990	时空旅行
88	时间旅行者的妻子	The Time Traveler's Wife	7.7	" 罗伯特·斯文克
            
          "	" 美国
            
          "	 2009	时空旅行
89	回到未来2	Back to the Future Part II	8.5	" 罗伯特·泽米吉斯
            
          "	" 美国
            
          "	 1989	时空旅行
90	回到未来	Back to the Future	8.7	" 罗伯特·泽米吉斯
            
          "	" 美国
            
          "	 1985	时空旅行
91	深渊	The Abyss	8.0	" 詹姆斯·卡梅隆
            
          "	" 美国
            
          "	 1989	超人类
92	X战警：黑凤凰	Dark Phoenix	5.8	" 西蒙·金伯格
            
          "	" 美国/加拿大
            
          "	 2019	超人类
93	海王	Aquaman	7.6	" 温子仁
            
          "	" 美国/澳大利亚
            
          "	 2018	超人类
94	异形：契约	Alien: Covenant	7.4	" 雷德利·斯科特
            
          "	" 美国
            
          "	 2017	超人类
95	狂暴巨兽	Rampage	6.3	" 布拉德·佩顿
            
          "	" 美国
            
          "	 2018	超人类
96	守望者	Watchmen	8.5	" 扎克·施奈德
            
          "	" 美国
            
          "	 2009	超人类
97	犬屋敷	真人版 いぬやしき	6.7	" 佐藤信介
            
          "	" 日本
            
          "	 2018	超人类
98	复仇者联盟4：终局之战	Avengers: Endgame	8.5	" 安东尼·罗素 / 乔·罗素
            
          "	" 美国
            
          "	 2019	超人类
99	黑豹	Black Panther	6.5	" 瑞恩·库格勒
            
          "	" 美国/南非
            
          "	 2018	超人类
100	侏罗纪世界2	Jurassic World: Fallen Kingdom	6.7	" J·A·巴亚纳
            
          "	" 美国
            
          "	 2018	超人类
101	复仇者联盟3：无限战争	Avengers: Infinity War	8.1	" 安东尼·罗素 / 乔·罗素
            
          "	" 美国
            
          "	 2018	超人类
